Country;Year;Total GHG Emissions Including LUCF
Canada;2000;7.070.039.045
Canada;2001;9.226.702.913
Canada;2002;9.844.561.542
Canada;2003;1.002.776.025
Canada;2004;9.791.940.019
Canada;2005;9.893.708.607
Canada;2006;8.523.842.804
Canada;2007;8.725.709.961
Canada;2008;8.625.699.898
Canada;2009;7.960.193.114
Canada;2010;8.604.350.811
Canada;2011;8.430.880.667
Canada;2012;8.562.776.049
Cape Verde;1990;0.206416724
Cape Verde;1991;-0.284272175
Cape Verde;1992;-0.245893074
Cape Verde;1993;-0.264925973
Cape Verde;1994;-0.256400872
Cape Verde;1995;-0.227469771
Cape Verde;1996;-0.25716235
Cape Verde;1997;-0.220468929
Cape Verde;1998;-0.195537508
Cape Verde;1999;-0.194098087
Cape Verde;2000;-0.165362666
Cape Verde;2001;0.295725761
Cape Verde;2002;0.332120187
Cape Verde;2003;0.341002613
Cape Verde;2004;0.360419039
Cape Verde;2005;0.399475465
Cape Verde;2006;0.428344541
Cape Verde;2007;0.503425617
Cape Verde;2008;0.445206692
Cape Verde;2009;0.451979768
Cape Verde;2010;0.520660844
Cape Verde;2011;0.655508703
Cape Verde;2012;0.430158563
Central African Republic;1990;51.772.009
Central African Republic;1991;5.279.901.109
Central African Republic;1992;5.357.584.719
Central African Republic;1993;5.434.727.928
Central African Republic;1994;5.518.055.538
Central African Republic;1995;5.603.099.947
Central African Republic;1996;5.669.670.023
Central African Republic;1997;5.990.663.299
Central African Republic;1998;6.489.314.775
Central African Republic;1999;6.166.733.451
Central African Republic;2000;6.315.759.927
Central African Republic;2001;5.644.753.078
Central African Republic;2002;5.477.434.629
Central African Republic;2003;613.555.698
Central African Republic;2004;5.737.299.131
Central African Republic;2005;6.034.158.682
Central African Republic;2006;608.683.346
Central African Republic;2007;6.207.124.438
Central African Republic;2008;6.383.603.615
Central African Republic;2009;5.925.207.793
Central African Republic;2010;6.208.376.171
Central African Republic;2011;6.381.654.347
Central African Republic;2012;6.051.782.924
Chad;1990;3.386.991.161
Chad;1991;339.563.841
Chad;1992;3.417.033.059
Chad;1993;3.434.189.907
Chad;1994;3.451.358.956
Chad;1995;3.484.809.605
Chad;1996;3.532.365.922
Chad;1997;3.673.489.639
Chad;1998;3.995.230.556
Chad;1999;4.087.512.273
Chad;2000;403.268.219
Chad;2001;3.718.215.471
Chad;2002;4.019.785.752
Chad;2003;4.229.028.634
Chad;2004;4.320.611.915
Chad;2005;4.552.042.996
Chad;2006;4.337.923.219
Chad;2007;4.411.961.642
Chad;2008;4.354.345.265
Chad;2009;4.178.434.688
Chad;2010;4.223.679.911
Chad;2011;4.383.526.949
Chad;2012;4.326.816.788
Chile;1990;5.329.643.092
Chile;1991;3.459.115.458
Chile;1992;3.718.781.225
Chile;1993;3.831.294.791
Chile;1994;4.256.897.357
Chile;1995;4.562.146.724
Chile;1996;5.220.580.986
Chile;1997;5.948.403.249
Chile;1998;6.087.367.312
Chile;1999;6.389.938.575
Chile;2000;5.929.737.638
Chile;2001;6.289.304.313
Chile;2002;6.431.867.588
Chile;2003;6.632.279.464
Chile;2004;7.210.552.139
Chile;2005;7.270.632.014
Chile;2006;7.402.160.187
Chile;2007;803.992.236
Chile;2008;8.349.880.533
Chile;2009;8.042.961.906
Chile;2010;8.490.961.679
Chile;2011;9.170.165.317
Chile;2012;9.373.860.728
China;1990;3.218.445.384
China;1991;3.158.949.175
China;1992;3.306.653.199
China;1993;3.525.605.176
China;1994;36.917.186
China;1995;4.019.323.447
China;1996;4.116.748.564
China;1997;408.343.498
China;1998;4.170.618.359
China;1999;4.102.965.671
China;2000;4.371.054.601
China;2001;450.452.077
China;2002;4.834.857.499
China;2003;5.520.375.384
China;2004;6.288.660.554
China;2005;6.974.053.563
China;2006;7.691.833.923
China;2007;8.185.074.458
China;2008;8.455.120.354
China;2009;8.939.832.052
China;2010;9.473.046.679
China;2011;1.030.412.726
China;2012;106.842.866
Colombia;1990;1.673.159.049
Colombia;1991;1.641.966.119
Colombia;1992;167.892.857
Colombia;1993;174.744.464
Colombia;1994;1.771.054.231
Colombia;1995;1.801.961.962
Colombia;1996;1.819.972.141
Colombia;1997;185.851.216
Colombia;1998;18.827.035
Colombia;1999;1.787.105.839
Colombia;2000;1.827.133.238
Colombia;2001;1.826.309.695
Colombia;2002;1.813.260.493
Colombia;2003;183.342.663
Colombia;2004;1.843.523.107
Colombia;2005;1.888.346.044
Colombia;2006;1.898.015.433
Colombia;2007;1.929.758.483
Colombia;2008;1.935.259.912
Colombia;2009;1.961.294.622
Colombia;2010;1.990.214.231
Colombia;2011;2.021.179.626
Colombia;2012;1.996.809.447
Comoros;1990;0.431093054
Comoros;1991;0.419316164
Comoros;1992;0.424799275
Comoros;1993;0.434192385
Comoros;1994;0.433255496
Comoros;1995;0.444262606
Comoros;1996;0.44066275
Comoros;1997;0.443838894
Comoros;1998;0.473023038
Comoros;1999;0.477667182
Comoros;2000;0.473027325
Comoros;2001;0.612737442
Comoros;2002;0.62702756
Comoros;2003;0.628991677
Comoros;2004;0.633171794
Comoros;2005;0.628785911
Comoros;2006;0.627349142
Comoros;2007;0.591366374
Comoros;2008;0.605151605
Comoros;2009;0.585072836
Comoros;2010;0.590326068
Comoros;2011;0.612859288
